Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.541033434650456,0.5547374245074234,,0.5420361924072957,0.018914222717285156
XGBClassifier,0.5835866261398176,0.5464028176348394,,0.5739961075325254,1.110283613204956
QuadraticDiscriminantAnalysis,0.5562310030395137,0.5409520696427864,,0.5529030012540651,0.016304731369018555
RandomForestClassifier,0.5896656534954408,0.5308819117805211,,0.5662348466443026,0.3306286334991455
LinearSVC,0.6139817629179332,0.5272565700474888,,0.5554892367995836,0.1318211555480957
LogisticRegression,0.601823708206687,0.5263042456968524,,0.5446936581605532,0.01806020736694336
ExtraTreesClassifier,0.5866261398176292,0.5256519105918844,,0.559422880589425,0.25855183601379395
LGBMClassifier,0.5592705167173252,0.5230857290021679,,0.5490454261793989,0.19518423080444336
GaussianNB,0.5319148936170213,0.5226866867036842,,0.5291461235643017,0.012525081634521484
SVC,0.6139817629179332,0.5140244972350048,,0.5439393384674172,0.09285092353820801
AdaBoostClassifier,0.547112462006079,0.5089013318390473,,0.5352123054250714,0.14853668212890625
LinearDiscriminantAnalysis,0.6048632218844985,0.5069931455287452,,0.549048507344405,0.012403726577758789
CalibratedClassifierCV,0.5987841945288754,0.5013457064746736,,0.5257186653281085,0.5782039165496826
BaggingClassifier,0.5562310030395137,0.48368949981038406,,0.5408418440267077,0.08526015281677246
RidgeClassifier,0.6048632218844985,0.4807681422741448,,0.5387693310622493,0.017339468002319336
NuSVC,0.547112462006079,0.4752183412292767,,0.5240586181148982,0.12879395484924316
RidgeClassifierCV,0.601823708206687,0.4748157613217639,,0.5350262061229634,0.002218961715698242
SGDClassifier,0.5288753799392097,0.46837943545420063,,0.4850909677737915,0.03213763236999512
BernoulliNB,0.5197568389057751,0.46423265015027765,,0.5047927965861096,0.015764474868774414
LabelPropagation,0.513677811550152,0.45978092294804523,,0.5180255730003609,0.0474395751953125
LabelSpreading,0.513677811550152,0.45809702105018885,,0.5174572238409147,0.07239437103271484
ExtraTreeClassifier,0.49240121580547114,0.4570930476077273,,0.49788842618071577,0.005124568939208984
KNeighborsClassifier,0.5349544072948328,0.452370339553865,,0.519034561560816,0.022460460662841797
PassiveAggressiveClassifier,0.47720364741641336,0.4160270669542035,,0.47314890878720667,0.012839555740356445
Perceptron,0.5167173252279635,0.4096813038777855,,0.484741791672011,0.005159139633178711
DecisionTreeClassifier,0.45896656534954405,0.406776926864886,,0.457269242575461,0.01923060417175293
DummyClassifier,0.5440729483282675,0.3333333333333333,,0.38342148720771607,0.011083602905273438
