image_id,red_median,red_iqr,green_iqr,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_InterquartileRange,original_firstorder_Range,original_glcm_Autocorrelation,original_gldm_LargeDependenceEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Strength,mel_keratosis,neither
ISIC_0000000,94,67,65,169.60000000000002,182.0,6.0,46.0,7.095172086328818,5.229053049082796,3.0035524357150067,0.6048871350924583,2.6254309004780545,0.0469688718914561,0,1
ISIC_0000001,116,86,58,112.0,135.0,12.0,72.0,6.02390508042682,4.672683513838749,1.4550057095101003,0.2994229950553664,2.777912802157009,0.1247402501440122,0,1
ISIC_0000002,161,26,52,157.0,169.0,6.0,38.0,3.9887792595992,5.051851851851852,1.4997103084391965,0.3801911401371618,1.9321270569299327,0.941025641025641,1,0
ISIC_0000003,161,60,57,176.0,191.0,7.0,49.0,3.85636974005496,5.162064825930372,1.5055874026318217,0.4297519861145919,2.214527698519935,0.0806279434850863,0,1
ISIC_0000004,192,36,44,26.0,205.0,159.0,210.0,31.008518566789267,4.673328738800827,1.5481631488571863,0.2685331502614152,4.2751564332104,2.213423503274276,1,0
ISIC_0000006,187,38,76,138.0,149.0,6.0,29.0,1.2118714911028643,4.594167679222357,1.4339907671350802,1.3468666694492653,2.1151487104564017,0.0462427745664739,0,1
ISIC_0000007,168,46,70,134.0,146.0,6.0,40.0,3.934467994771541,4.842105263157895,1.5504106646783282,0.3979454865204732,1.8942361878337288,0.4162679425837321,0,1
ISIC_0000008,180,49,63,174.0,189.0,9.0,37.0,3.5969095379359626,5.176196032672112,1.501941020202667,0.5174945194724034,2.403805753115812,0.0771175537803309,0,1
ISIC_0000009,194,35,60,144.0,158.0,8.0,27.0,2.6835500018935097,4.652173913043479,1.4274721064797555,0.8195394530086157,2.553232820358888,0.0214669051878354,0,1
ISIC_0000010,199,55,83,136.0,145.0,4.0,22.0,1.0,4.837235228539576,1.4793122270846513,1.4773956521730858,1.8357258930867744,0.0,0,1
ISIC_0000011,209,25,47,144.0,153.0,5.0,35.0,1.8962023070097604,4.972157772621809,1.4731025318563018,1.107096320859028,2.66172095061964,0.0214477211796246,0,1
ISIC_0000012,183,57,51,117.0,128.0,6.0,42.0,5.907124418503544,4.156589147286821,1.3806415893851545,0.2754753166551264,2.495832314420576,0.1068370096816049,0,1
ISIC_0000013,74,92,41,169.0,188.0,10.0,58.0,7.571025745757351,4.76319350473613,1.4545639527789131,0.2170540777505436,2.5835005874286887,0.1123191867062927,1,0
ISIC_0000014,215,22,36,159.0,167.0,4.0,22.0,1.0,5.39741935483871,1.5292050425074066,1.5286433898841938,1.868003965152622,0.0,0,1
ISIC_0000015,199,54,91,160.0,170.0,5.0,32.0,1.0367953680298516,5.384947563232572,1.5231477107535352,1.5097436389436518,1.927393282813033,0.1678321678321678,0,1
ISIC_0000016,109,69,57,164.0,175.0,5.0,31.0,1.2775563286814429,4.847498014297061,1.4604218875398978,1.344106248855855,2.295632263197024,0.0431499460625674,0,1
ISIC_0000017,168,61,77,142.0,152.0,6.0,45.0,1.7660248756744572,4.60091220068415,1.4748751324719829,1.1773752910250437,2.5394113733831856,0.0545215331988422,0,1
ISIC_0000018,210,34,54,151.0,160.0,5.0,29.0,3.790442202291693,4.921199143468951,1.4720701439791486,0.428931963414675,2.1015891742004245,0.0356083086053412,0,1
ISIC_0000019,165,67,77,163.0,185.0,11.0,67.0,6.84359779955937,4.861471861471862,1.5296699528931734,0.2669641862001911,2.8194282811120246,0.0639910188043783,0,1
ISIC_0000020,167,66,80,151.0,161.0,6.0,40.0,3.8216466958816833,5.129213483146067,1.4986993367190695,0.4341020931597679,2.1673733818411165,0.0500949744052026,0,1
ISIC_0000021,208,21,36,149.0,162.80000000000018,7.0,41.0,3.6401086924198807,4.812300035549236,1.5051826352029494,0.4874738924357105,2.2378277066939134,0.0160384923817161,0,1
ISIC_0000022,208,40,75,155.0,171.0,9.0,62.0,9.171442710202328,5.205360824742268,2.1625077547808726,0.2426032005215609,2.1526896933866366,0.4533324977281984,1,0
ISIC_0000023,186,33,47,144.0,151.0,3.0,25.0,1.5919555860106829,4.627569528415961,1.4550561956769894,1.2119898427373734,2.4345555486021446,0.02081526452732,0,1
ISIC_0000024,226,9,29,166.0,180.0,8.0,86.0,19.369988830233456,4.894961571306576,1.4739463562463746,0.079995671995316,2.790306064648768,0.4694377693484003,0,1
ISIC_0000025,231,12,25,142.0,153.0,5.0,30.0,1.842853409635813,4.716807649871276,1.4525113323739156,1.1233003877735472,2.5638194062925024,0.010738255033557,0,1
ISIC_0000026,225,16,46,152.0,164.0,7.0,29.0,3.922543059579212,5.031527093596059,1.5960182850396567,0.4242428477025766,1.9780012734303511,0.0710059171597633,1,0
ISIC_0000027,211,35,59,150.0,157.0,4.0,26.0,3.73196012557967,5.133647058823529,1.508742900328707,0.4668796218593627,2.285259494177202,0.0277200277200277,0,1
ISIC_0000028,128,90,68,160.0,172.0,6.0,69.0,9.10437912105288,5.203275934481311,1.5244174385285831,0.1697889573436606,2.179385249622652,0.2272007974104554,0,1
ISIC_0000029,90,62,34,163.0,186.0,11.0,73.0,6.722563334068076,4.4070921985815605,1.412163738467156,0.2507590687284141,2.649504406029097,0.0439596540307471,1,0
ISIC_0000030,179,111,97,152.40000000000003,201.0,31.0,76.0,6.7769595920001855,4.721121495327103,1.4816007508364797,0.3408545315352675,3.3055278533610126,0.2154694122324117,1,0
ISIC_0000031,172,50,76,156.0,184.0,16.0,69.0,5.7763062363847535,5.090075062552127,1.5487271743809878,0.34742775974377,2.897740745404093,0.0794393035652393,1,0
ISIC_0000032,193,20,38,156.0,170.0,7.0,85.0,15.816669064318392,5.052561247216036,1.5032595421436858,0.0972997063104334,2.2200644862670087,0.7735708982925018,0,1
ISIC_0000034,161,49,48,145.0,157.0,5.0,66.0,7.3077904496944495,4.71390134529148,1.4667963069685168,0.2303047535284992,2.58767966187602,0.0366622595990022,0,1
ISIC_0000035,148,25,37,161.0,170.0,4.0,24.0,1.0300631445098276,5.336129032258064,1.6064678121610532,1.598056824903078,1.9072277548661665,0.183206106870229,1,0
ISIC_0000036,134,64,82,157.0,201.0,24.0,198.0,59.649045726283255,5.278026905829597,1.6697838282410409,0.0676026442182307,3.56235208929262,3.243647499825997,1,0
ISIC_0000037,117,70,96,191.0,200.0,4.0,17.0,1.390471607663781,5.104609349460608,1.711392907345796,1.5458752256337482,2.463904299458789,0.0297545251673692,0,1
ISIC_0000038,141,47,87,195.0,203.0,4.0,17.0,2.0324025875368954,4.681735985533454,1.4849365281164029,1.087751624072672,2.623099564124656,0.022140221402214,0,1
ISIC_0000039,90,64,42,165.0,180.0,7.0,44.0,1.964526526017212,4.88781234064253,1.469138677442139,1.0765937350116337,2.614180357154724,0.0113421550094517,0,1
ISIC_0000040,135,20,36,133.0,140.0,4.0,23.0,1.0027881040892193,5.1226558540293965,1.5461533592458117,1.545058638204265,1.7709937775652451,0.0,1,0
ISIC_0000041,115,74,63,122.0,133.0,5.0,49.0,7.776108705727873,4.922633744855967,1.575969057833348,0.2244814979973068,2.485087084354588,0.1046277665995975,0,1
ISIC_0000042,135,55,77,158.0,193.0,15.0,138.0,30.345308000372007,5.194444444444445,1.7277529193314431,0.0708145188241265,3.226621882587322,0.8621068598315998,0,1
ISIC_0000043,126,50,47,122.0,224.0,44.0,197.0,49.01929549335219,4.881010594947025,1.5153252297458808,0.0458701870071331,4.160223291238282,1.078613039718097,1,0
ISIC_0000044,163,71,60,199.0,214.0,8.0,66.0,8.4726592538577,4.801729873586161,1.478726806203999,0.1849878985014495,2.3112397254352937,0.1127994011976047,0,1
ISIC_0000045,169,69,97,178.0,190.0,6.0,32.0,3.92331232122206,5.01899592944369,1.541997979487415,0.4092683210613825,1.981509993970228,0.0790513833992094,0,1
ISIC_0000046,141,16,33,155.0,165.0,5.0,37.0,3.997754101640656,5.520655737704918,1.6424042148156568,0.4117491319441279,1.9504246510859824,0.5,1,0
ISIC_0000047,182,94,114,172.0,181.0,5.0,19.0,2.6477906375577884,4.8165043567401336,1.4694481778481026,0.8430415241038138,2.610191741934233,0.0216138328530259,0,1
ISIC_0000048,113,130,90,139.0,152.0,7.0,35.0,1.552758595995094,4.732445520581114,1.5716299021296507,1.3358575526977898,2.5207885430091808,0.0171919770773638,0,1
ISIC_0000049,207,43,76,3.0,201.0,13.0,254.0,57.07642245060008,5.466910272025984,6.905827602486088,5.601119540195656,2.5523855213915287,1.033916319465398,1,0
ISIC_0000050,216,17,43,157.0,173.0,9.0,77.0,9.15689462100432,5.182620202911337,1.6994910345785963,0.1921356233559025,2.181786391772402,0.5513542126157918,0,1
ISIC_0000051,196,52,61,161.0,172.0,6.0,61.0,4.098888487890518,5.339201083276913,1.541829792345903,0.3813851520171653,2.0866462819676657,0.095931908308347,0,1
ISIC_0000052,199,47,57,230.0,238.0,4.0,255.0,98.070412203136,5.328926152853918,1.5624468316401074,0.0374457254339662,2.035824833980766,0.7864424169591873,0,1
ISIC_0000053,203,50,73,181.0,190.0,5.0,38.0,3.960241817883478,5.295893122216724,1.5233474102181437,0.3917876516562069,1.9178830936977949,0.1067615658362989,0,1
ISIC_0000054,189,34,56,149.0,157.0,4.0,22.0,3.569112032433698,5.342231947483588,1.5592887400123867,0.5359398866041829,2.413329073006274,0.0217194570135746,1,0
ISIC_0000055,208,31,53,168.0,175.0,4.0,183.0,50.16176081319168,5.029482071713147,1.5436471955189983,0.032807361502964,2.3213887091760115,0.928662435684398,0,1
ISIC_0000056,215,26,47,165.0,173.0,4.0,25.0,1.1129047928375173,5.023720772619451,1.5244832755869586,1.482765657424606,2.034020385613168,0.0355555555555555,1,0
ISIC_0000057,183,20,31,163.0,172.0,4.0,24.0,1.0831014090900348,4.960419091967404,1.5113162307496313,1.4769644316510506,2.024772911778788,0.0789473684210526,0,1
ISIC_0000059,209,75,113,175.0,191.0,10.0,128.0,34.99675068297344,5.330662782228696,1.963573435184943,0.0585030061428485,2.4099271251357424,3.4710159636072744,0,1
ISIC_0000061,158,53,50,174.0,183.0,5.0,25.0,3.5255987160343145,4.880847953216374,1.4861956343638871,0.532072667781532,2.385604886211647,0.0192864030858244,0,1
